city_name,barangay_name
Bago,Abuanan
Bago,Alianza
Bago,Atipuluan
Bago,Bacong-Montilla
Bago,Bagroy
Bago,Balingasag
Bago,Binubuhan
Bago,Busay
Bago,Calumangan
Bago,Caridad
Bago,Dulao
Bago,Ilijan
Bago,Lag-Asan
Bago,"Ma-ao Barrio"
Bago,"Jorge L. Araneta"
Bago,Mailum
Bago,Malingin
Bago,Napoles
Bago,Pacol
Bago,Poblacion
Bago,Sagasa
Bago,Tabunan
Bago,Taloc
Bago,Sampinit
Binalbagan,Amontay
Binalbagan,Bagroy
Binalbagan,Bi-ao
Binalbagan,Canmoros
Binalbagan,Enclaro
Binalbagan,Marina
Binalbagan,Paglaum
Binalbagan,Payao
Binalbagan,Progreso
Binalbagan,"San Jose"
Binalbagan,"San Juan"
Binalbagan,"San Pedro"
Binalbagan,"San Teodoro"
Binalbagan,"San Vicente"
Binalbagan,"Santo Rosario"
Binalbagan,Santol
Cadiz,"Andres Bonifacio"
Cadiz,Banquerohan
Cadiz,"Barangay 1 Pob."
Cadiz,"Barangay 2 Pob."
Cadiz,"Barangay 3 Pob."
Cadiz,"Barangay 4 Pob."
Cadiz,"Barangay 5 Pob."
Cadiz,"Barangay 6 Pob."
Cadiz,Burgos
Cadiz,Cabahug
Cadiz,"Cadiz Viejo"
Cadiz,Caduha-an
Cadiz,"Celestino Villacin"
Cadiz,Daga
Cadiz,"V. F. Gustilo"
Cadiz,Jerusalem
Cadiz,Luna
Cadiz,Mabini
Cadiz,Magsaysay
Cadiz,Sicaba
Cadiz,Tiglawigan
Cadiz,Tinampa-an
Calatrava,Agpangi
Calatrava,Ani-e
Calatrava,Bagacay
Calatrava,Bantayanon
Calatrava,Buenavista
Calatrava,Cabungahan
Calatrava,Calampisawan
Calatrava,Cambayobo
Calatrava,Castellano
Calatrava,Cruz
Calatrava,Dolis
Calatrava,Hilub-Ang
Calatrava,Hinab-Ongan
Calatrava,Ilaya
Calatrava,Laga-an
Calatrava,Lalong
Calatrava,Lemery
Calatrava,Lipat-on
Calatrava,Lo-ok
Calatrava,Ma-aslob
Calatrava,Macasilao
Calatrava,Malanog
Calatrava,Malatas
Calatrava,Marcelo
Calatrava,Mina-utok
Calatrava,Menchaca
Calatrava,Minapasuk
Calatrava,Mahilum
Calatrava,Paghumayan
Calatrava,Pantao
Calatrava,Patun-an
Calatrava,Pinocutan
Calatrava,Refugio
Calatrava,"San Benito"
Calatrava,"San Isidro"
Calatrava,Suba
Calatrava,Telim
Calatrava,Tigbao
Calatrava,Tigbon
Calatrava,Winaswasan
Candoni,Agboy
Candoni,Banga
Candoni,Cabia-an
Candoni,Caningay
Candoni,Gatuslao
Candoni,Haba
Candoni,Payauan
Candoni,"Poblacion East"
Candoni,"Poblacion West"
Cauayan,Abaca
Cauayan,Baclao
Cauayan,Poblacion
Cauayan,Basak
Cauayan,Bulata
Cauayan,Caliling
Cauayan,Camalanda-an
Cauayan,Camindangan
Cauayan,Elihan
Cauayan,Guiljungan
Cauayan,Inayawan
Cauayan,Isio
Cauayan,Linaon
Cauayan,Lumbia
Cauayan,Mambugsay
Cauayan,Man-Uling
Cauayan,Masaling
Cauayan,Molobolo
Cauayan,Sura
Cauayan,Talacdan
Cauayan,Tambad
Cauayan,Tiling
Cauayan,Tomina
Cauayan,Tuyom
Cauayan,Yao-yao
"Enrique B. Magalona",Alacaygan
"Enrique B. Magalona",Alicante
"Enrique B. Magalona","Poblacion I"
"Enrique B. Magalona","Poblacion II"
"Enrique B. Magalona","Poblacion III"
"Enrique B. Magalona",Batea
"Enrique B. Magalona",Consing
"Enrique B. Magalona",Cudangdang
"Enrique B. Magalona",Damgo
"Enrique B. Magalona",Gahit
"Enrique B. Magalona",Canlusong
"Enrique B. Magalona",Latasan
"Enrique B. Magalona",Madalag
"Enrique B. Magalona",Manta-angan
"Enrique B. Magalona",Nanca
"Enrique B. Magalona",Pasil
"Enrique B. Magalona","San Isidro"
"Enrique B. Magalona","San Jose"
"Enrique B. Magalona","Santo Niño"
"Enrique B. Magalona",Tabigue
